;Vanguard Consumer Discretion ETF (VCR);Vanguard Consumer Staples ETF (VDC);Vanguard Energy ETF (VDE);Vanguard Financials ETF (VFH);Vanguard Health Care ETF (VHT);Vanguard Industrials ETF (VIS);Vanguard Information Tech ETF (VGT);Vanguard Materials ETF (VAW);Vanguard REIT ETF (VNQ);Vanguard Communication Services ETF (VOX);Vanguard Utilities ETF (VPU)
17/06/2016;113.0043793;119.644371;77.63290405;41.79793167;117.7910767;96.9804306;100.8584137;94.30367279;68.76465607;84.57600403;93.28673553
20/06/2016;114.0495148;119.9657364;78.3347702;42.07357407;118.712738;98.0293808;101.6012573;95.05344391;68.86103058;85.2755661;92.95057678
21/06/2016;113.8500366;120.3876343;79.16856384;42.23725128;118.2679291;97.8039856;102.1200867;94.65525055;69.12352753;85.92810059;93.14872742
22/06/2016;113.506691;120.3789139;78.69519043;42.19253159;118.6008606;97.52910614;101.6672897;94.64617157;69.01820374;85.63928986;92.68299103
23/06/2016;114.7222824;121.217392;80.09037018;43.03334045;120.1821976;98.76608276;103.2427063;96.27894592;69.36656189;87.25478363;93.08097076
24/06/2016;110.546524;118.7630386;77.07577515;40.92237473;116.658844;94.59699249;98.76168823;91.86138916;68.75084686;85.41366577;93.03864288
27/06/2016;108.2637634;118.3437729;74.65909576;39.81321716;114.7723465;92.20549774;96.16742706;88.69561768;68.79944611;84.48406982;94.16487885
28/06/2016;110.1939087;119.1560898;76.8266449;40.77031708;117.2599411;93.68070221;98.13907623;89.56642914;70.24963379;85.56708527;94.60523987
29/06/2016;112.2075577;120.5186768;78.38792419;41.6916275;119.4608688;95.41248322;99.77111816;91.21736908;71.10031891;87.25478363;94.94395447
30/06/2016;113.191185;123.3398895;78.99416351;42.36248398;120.6723404;97.3733139;101.0257874;92.91362;71.83757019;88.80710602;96.95936584
01/07/2016;114.1748199;122.9556122;79.59209442;42.1746521;121.4306335;97.77649689;101.0918274;93.20389557;71.86185455;89.17712402;96.86619568
05/07/2016;113.0056076;123.4359818;77.71520996;41.59323883;121.2549133;96.7594223;100.2711182;91.3897171;72.65584564;88.87931061;97.43357086
06/07/2016;113.9799347;123.5582504;78.15538788;41.74530029;122.660553;97.2908783;100.8182831;91.89767456;72.33986664;89.28544617;97.73843384
07/07/2016;114.4996033;123.5233383;77.29999542;41.77211761;122.660553;97.54742432;101.1389999;92.23330688;71.59454346;88.70782471;95.96861267
08/07/2016;116.5596237;124.842247;78.39621735;42.51454926;123.9737244;99.4807663;102.9691391;94.63709259;72.75306702;90.28720856;96.85773468
11/07/2016;117.4133606;124.8072968;78.43773651;42.8097229;123.89048;100.1588135;103.6012039;95.1541748;73.23917389;90.6391983;96.8323288
12/07/2016;118.0536194;124.274498;80.56374359;43.32852554;124.5285873;101.166748;104.6294861;96.81414795;73.23106384;90.9641037;95.66374207
13/07/2016;117.5432739;124.8160248;79.75819397;43.33747101;124.426857;101.3225327;104.5540237;97.18605042;73.6361618;91.59586334;96.39201355
14/07/2016;118.062912;124.9033813;80.09037018;43.61474609;124.7875137;102.0188828;105.3087006;97.86634827;72.97991943;91.55075073;95.71456146
15/07/2016;117.4783096;124.947052;80.02394104;43.61474609;124.8430099;102.0921936;105.1294785;98.33805084;73.00422668;91.73123169;95.98553467
18/07/2016;117.9886856;124.7636032;80.09867096;43.73998642;124.879982;101.963913;105.8652878;98.80973053;73.1986618;91.27998352;96.20571136
19/07/2016;117.6453171;124.5802078;79.54225922;43.77576065;124.5285873;101.9181061;105.7049179;97.99333954;73.55513;90.68431854;96.01940918
20/07/2016;118.3320236;124.257019;79.47582245;43.82048416;125.7862701;102.2479477;107.138855;98.21105194;73.56325531;90.60310364;95.59600067
21/07/2016;118.1278763;123.8639603;78.67025757;43.68631744;126.1561508;101.331665;106.5067902;97.63959503;73.7090683;89.80888367;96.04479218
22/07/2016;118.6104126;124.4404221;78.85297394;43.96360397;126.4150696;101.4966049;107.1105499;97.75751495;74.35719299;91.38829041;97.24726868
25/07/2016;118.7496109;124.3356323;77.22525024;43.87414932;126.2116547;100.9010162;107.0822525;97.50351715;74.21947479;91.46952057;97.0355835
26/07/2016;118.7124863;123.5058365;77.69861603;43.90992737;126.1746521;101.7898102;107.5727997;98.37432098;73.85489655;90.85580444;96.39201355
27/07/2016;118.3134689;121.8026123;76.85986328;43.89204407;126.7387695;101.3591614;108.3935394;98.43783569;73.27966309;90.92799377;95.27423096
28/07/2016;118.5268936;122.3529282;76.71037292;44.01726532;126.6925583;101.3774796;108.6576843;98.49223328;73.96022797;90.19697571;95.52824402
29/07/2016;118.6568069;122.9031601;77.47440338;44.01726532;127.2103806;101.111763;108.6765289;98.02962494;74.90001678;91.19876099;96.09560394
01/08/2016;118.7588806;123.0953369;74.83351135;43.88310623;127.968689;100.9193573;109.1576767;97.5307312;75.0620575;90.56699371;96.01940918
02/08/2016;116.9215393;122.7372055;75.42312622;43.48952103;127.3583527;100.0305557;108.1388321;97.06813049;73.86296844;89.15907288;95.49438477
03/08/2016;117.3298416;122.1257858;76.95121002;43.88310623;127.2011414;100.4245529;108.5539246;97.50351715;73.43359375;89.27638245;95.037117
04/08/2016;117.2370453;122.4402466;77.01763153;43.79364777;127.025444;100.5894928;109.1765366;97.84822845;73.13384247;89.14102173;94.93549347
05/08/2016;118.285614;122.8245697;77.78167725;44.53606796;127.3675919;101.6890182;110.4595261;98.19290924;73.18245697;88.71685028;93.73303223
08/08/2016;118.137146;122.6499023;78.88619995;44.5807991;126.3133698;101.7348251;110.4783859;98.46503448;73.31206512;88.38291168;93.61447144
09/08/2016;117.8773117;122.9643173;78.4045105;44.63446808;126.6185303;101.7165146;110.6670609;98.13848877;73.7090683;88.63562775;93.46205902
10/08/2016;117.997963;123.4185028;77.47440338;44.35716629;125.9527206;101.6157303;110.365181;98.19290924;73.62805176;88.26560211;93.5636673
11/08/2016;119.2785263;123.3573532;78.57892609;44.34822845;126.5907898;102.2479477;110.7802658;98.61924744;72.79359436;88.24755096;93.80076599
12/08/2016;119.2228317;123.6805649;79.01078033;44.27666855;126.4798508;101.9089279;110.6953506;97.50351715;73.10144043;87.5526123;93.81771851
15/08/2016;119.6775436;123.5320282;79.73326111;44.53606796;126.8219833;102.6236343;111.3274231;98.54667664;73.02852631;87.48040771;92.49668884
16/08/2016;118.9908524;122.8420258;79.93257904;44.38401031;125.6105194;102.0921936;110.7519836;98.02962494;72.15355682;85.93712616;91.37042236
